business_id,review_count,raw_avg_stars,suspicion_pct,mean_suspicion_score,tabhs_adjusted_stars,manipulation_delta
1kKmTmnfDeycQRcYJA-5Zw,21,1.9523809523809523,23.809523809523807,0.23807076,1.7500800315608356,0.20230092082011675
w2COOqbypjJd-HbJAa-0pw,17,1.7058823529411764,11.76470588235294,0.11766787,1.5333868092294958,0.17249554371168063
W7NxQw8UYFR0HLPrI08tvw,15,2.1333333333333333,6.666666666666667,0.06669947,2.0000596408009295,0.13327369253240384
n30cwtnOdHG6W5xe1O6KkA,10,1.7,30.0,0.2999629,1.5714885512016272,0.12851144879837273
0mkWBczOhKj1QUkQvG86lQ,23,1.3043478260869565,17.391304347826086,0.17392154,1.2105563887045658,0.09379143738239071
GEdrmeb5ubO2Gq5MgMxDtQ,10,1.4,10.0,0.10149328,1.3339000033009514,0.06609999669904854
zlfydjffYAIEj6vsh8tVvQ,18,4.0,5.555555555555555,0.05556781,3.9412159908338373,0.058784009166162665
6AeJwVYUU5gyaFjvzoIyrg,18,4.0,5.555555555555555,0.05710049,3.945996842015181,0.054003157984818806
GC75ZzoLxsfeKyk7vA3pXA,23,4.173913043478261,4.3478260869565215,0.043496132,4.136385381132608,0.03752766234565286
0M--IAwPfqJC9yfmI-EiAA,14,4.571428571428571,7.142857142857142,0.07143233,4.538470004472018,0.032958566956553526
